Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R613       AP2-00011            47.175mm       67.15mm      47.175mm       67.15mm      46.675mm       67.15mm  B        360.00 R2             
R614       AP2-00011              26.8mm      69.125mm        26.8mm      69.125mm        26.8mm      68.625mm  B         90.00 R2             
R615       AP2-00011             30.75mm      67.075mm       30.75mm      67.075mm       30.25mm      67.075mm  B        360.00 R2             
R616       AP2-00011              25.3mm      67.025mm        25.3mm      67.025mm        24.8mm      67.025mm  B        360.00 R2             
R617       AP2-00011            36.225mm       67.15mm      36.225mm       67.15mm      35.725mm       67.15mm  B        360.00 R2             
R618       AP2-00011             32.25mm      69.175mm       32.25mm      69.175mm       32.25mm      69.675mm  B        270.00 R2             
R619       AP2-00011            37.725mm       69.25mm      37.725mm       69.25mm      37.725mm       68.75mm  B         90.00 R2             
R620       AP2-00011             35.65mm      64.525mm       35.65mm      64.525mm       35.65mm      65.025mm  B        270.00 R2             
R621       AP2-00011              30.2mm      64.475mm        30.2mm      64.475mm        30.2mm      63.975mm  B         90.00 R2             
R622       AP2-00011            34.013mm      62.288mm      34.013mm      62.288mm      33.513mm      62.288mm  B        360.00 R2             
R623       AP2-00011              28.7mm      62.375mm        28.7mm      62.375mm        28.2mm      62.375mm  B        360.00 R2             
R700       AP2-00000             26.65mm        90.1mm       26.65mm        90.1mm       27.25mm        90.1mm  T        180.00 R2             
R701       AP2-00000                19mm     40.1381mm          19mm     40.1381mm        19.6mm     40.1381mm  T        180.00 R2             
R702       AP2-00000              24.6mm      88.425mm        24.6mm      88.425mm        24.6mm      87.825mm  T         90.00 R2             
SW700      AP8-00137                27mm        95.1mm          27mm        95.1mm          25mm       92.35mm  T         90.00 Can be ordered in low volumes from Mouser
U601       AP6-00015            41.125mm        69.5mm      41.125mm        69.5mm      40.475mm       70.35mm  B        270.00 SN74LVC1T45DCKR
U602       AP6-00015             39.05mm      64.825mm       39.05mm      64.825mm        38.4mm      65.675mm  B        270.00 SN74LVC1T45DCKR
U603       AP6-00015             44.55mm      64.825mm       44.55mm      64.825mm        43.9mm      65.675mm  B        270.00 SN74LVC1T45DCKR
U604       AP6-00015             22.65mm      64.675mm       22.65mm      64.675mm          22mm      65.525mm  B        270.00 SN74LVC1T45DCKR
U605       AP6-00015            46.575mm        69.5mm      46.575mm        69.5mm      45.925mm       70.35mm  B        270.00 SN74LVC1T45DCKR
U606       AP6-00015              20.3mm      74.525mm        20.3mm      74.525mm       21.15mm      75.175mm  B        180.00 SN74LVC1T45DCKR
U607       AP6-00015             30.15mm      69.425mm       30.15mm      69.425mm        29.5mm      70.275mm  B        270.00 SN74LVC1T45DCKR
U608       AP6-00015              24.7mm      69.375mm        24.7mm      69.375mm       24.05mm      70.225mm  B        270.00 SN74LVC1T45DCKR
U609       AP6-00015            35.625mm        69.5mm      35.625mm        69.5mm      34.975mm       70.35mm  B        270.00 SN74LVC1T45DCKR
U610       AP6-00015              20.3mm        71.6mm        20.3mm        71.6mm       21.15mm       72.25mm  B        180.00 SN74LVC1T45DCKR
U611       AP6-00015             33.55mm      64.775mm       33.55mm      64.775mm        32.9mm      65.625mm  B        270.00 SN74LVC1T45DCKR
U612       AP6-00015              28.1mm      64.725mm        28.1mm      64.725mm       27.45mm      65.575mm  B        270.00 SN74LVC1T45DCKR
U700       AP6-00409           34.9882mm     21.5592mm     34.9882mm     21.5592mm     34.2382mm     20.1092mm  T         90.00 ATECC108_UDFN  
Q601       AP5-00008             17.35mm      62.725mm       17.35mm      62.725mm      18.575mm      63.675mm  B        180.00 Farnell no: 9844856
R600       AP2-00011            14.875mm     64.7125mm      14.875mm     64.7125mm      14.875mm     64.2125mm  B         90.00 R2             
R100       AP2-00000           16.8625mm      84.035mm     16.8625mm      84.035mm     16.8625mm      83.435mm  B         90.00 R2             
C311       AP1-00001                19mm     37.9933mm          19mm     37.9933mm       18.45mm     37.9933mm  T        360.00 CAP-NONPOL     
C312       AP1-00001              40.8mm          44mm        40.8mm          44mm       40.25mm          44mm  T        360.00 CAP-NONPOL     
C507       AP1-00003            10.675mm      91.765mm      10.675mm      91.765mm      10.675mm       90.94mm  T         90.00 CAP-NONPOL     
C508       AP1-00001           15.2782mm     95.1074mm     15.2782mm     95.1074mm     15.2782mm     94.5574mm  T         90.00 CAP-NONPOL     
C509       AP1-00001             16.55mm       92.85mm       16.55mm       92.85mm       16.55mm        92.3mm  T         90.00 CAP-NONPOL     
C510       AP1-00001              12.5mm       95.05mm        12.5mm       95.05mm        12.5mm        94.5mm  T         90.00 CAP-NONPOL     
J505       AP8-00733                 4mm       91.86mm           4mm       91.86mm           4mm       90.59mm  T         90.00 HEADER 1x2     
R507       AP2-00008             7.625mm      89.185mm       7.625mm      89.185mm       7.625mm      90.635mm  T        270.00 0.5W           
R508       AP2-00008              7.65mm       94.44mm        7.65mm       94.44mm        7.65mm       95.89mm  T        270.00 0.5W           
U502       AP6-00407           13.8878mm      91.815mm      13.888mm      91.815mm        15.3mm       90.84mm  T        180.00 ATA6561        
C106       AP1-00001             30.55mm        91.4mm       30.55mm        91.4mm          30mm        91.4mm  B        360.00 CAP-NONPOL     
U103       AP6-00000             29.95mm      94.975mm       29.95mm      94.975mm      32.375mm       96.88mm  B        180.00 MIC5209-3.3YM  
F100       AP2-00002           50.4025mm     81.6063mm     50.4025mm     81.6063mm     51.3525mm     81.6063mm  B        180.00 Farnell no: 1861197
R101       AP2-00000              34.4mm        93.7mm        34.4mm        93.7mm        34.4mm        93.1mm  B         90.00 R2             
R315       AP2-00000            37.675mm        44.5mm      37.675mm        44.5mm      37.075mm        44.5mm  B        360.00 R2             
R316       AP2-00000            37.675mm          46mm      37.675mm          46mm      37.075mm          46mm  B        360.00 R2             

